iter	Passed	Remaining
890	8871	11041
891	8880	11030
892	8891	11022
893	8932	11051
894	8941	11039
895	8952	11030
896	8976	11038
897	8987	11028
898	8997	11018
899	9006	11008
900	9016	10997
901	9026	10987
902	9038	10980
903	9049	10971
904	9058	10959
905	9068	10950
906	9078	10939
907	9087	10929
908	9096	10918
909	9106	10907
910	9115	10897
911	9126	10887
912	9135	10876
913	9145	10866
914	9155	10856
915	9165	10846
916	9174	10835
917	9184	10825
918	9193	10814
919	9203	10803
920	9212	10792
921	9220	10781
922	9228	10768
923	9237	10757
924	9246	10746
925	9256	10736
926	9266	10725
927	9276	10716
928	9287	10706
929	9296	10695
930	9305	10684
931	9313	10672
932	9322	10661
933	9331	10650
934	9340	10638
935	9349	10627
936	9358	10616
937	9368	10606
938	9377	10596
939	9386	10584
940	9394	10572
941	9402	10560
942	9411	10549
943	9419	10537
944	9428	10525
945	9437	10515
946	9445	10502
947	9454	10491
948	9463	10481
949	9474	10472
950	9484	10461
951	9493	10450
952	9502	10439
953	9531	10450
954	9545	10444
955	9557	10436
956	9569	10429
957	9579	10419
958	9588	10408
959	9598	10397
960	9607	10387
961	9616	10376
962	9627	10367
963	9636	10356
964	9645	10345
965	9654	10334
966	9663	10323
967	9673	10313
968	9682	10302
969	9691	10290
970	9701	10281
971	9713	10273
972	9723	10263
973	9734	10254
974	9743	10243
975	9752	10232
976	9762	10222
977	9771	10211
978	9782	10201
979	9792	10191
980	9801	10181
981	9812	10172
982	9821	10160
983	9831	10151
984	9841	10140
985	9850	10130
986	9858	10118
987	9869	10109
988	9879	10099
989	9888	10088
990	9897	10077
991	9908	10067
992	9916	10056
993	9924	10044
994	9933	10033
995	9941	10021
996	9950	10010
997	9959	9999
998	9969	9989
999	9979	9979
1000	9988	9968
1001	9996	9956
1002	10005	9945
1003	10026	9946
1004	10037	9937
1005	10047	9927
1006	10057	9917
1007	10068	9908
1008	10078	9898
1009	10089	9889
1010	10100	9881
1011	10116	9876
1012	10129	9869
1013	10139	9859
1014	10151	9851
1015	10171	9851
1016	10180	9840
1017	10189	9829
1018	10200	9819
1019	10210	9810
1020	10219	9799
1021	10229	9789
1022	10239	9778
1023	10248	9768
1024	10257	9757
1025	10266	9745
1026	10276	9736
1027	10284	9724
1028	10293	9713
1029	10304	9704
